,para_name,type,file_name,position
0,SHALLST,float,gw,default
1,DEEPST,float,gw,default
2,ALPHA_BF,float,gw,default
3,GWQMN,float,gw,default
4,GW_REVAP,float,gw,default
5,RCHRG_DP,float,gw,default
6,GWHT,float,gw,default
7,GW_SPYLD,float,gw,default
8,SHALLST_N,float,gw,default
9,GWSOLP,float,gw,default
10,HLIFE_NGW,float,gw,default
11,LAT_ORGN,float,gw,default
12,LAT_ORGP,float,gw,default
13,GW_DELAY,float,gw,default
14,ALPHA_BF_D,float,gw,default
15,HRU_FR,float,hru,default
16,SLSUBBSN,float,hru,default
17,HRU_SLP,float,hru,default
18,OV_N,float,hru,default
19,LAT_TTIME,float,hru,default
20,LAT_SED,float,hru,default
21,SLSOIL,float,hru,default
22,CANMX,float,hru,default
23,ESCO,float,hru,default
24,EPCO,float,hru,default
25,RSDIN,float,hru,default
26,ERORGN,float,hru,default
27,ERORGP,float,hru,default
28,POT_FR,float,hru,default
29,FLD_FR,float,hru,default
30,RIP_FR,float,hru,default
31,POT_TILE,float,hru,default
32,POT_VOLX,float,hru,default
33,POT_VOL,float,hru,default
34,POT_NSED,float,hru,default
35,POT_NO3L,float,hru,default
36,DEP_IMP,int,hru,default
37,EVPOT,float,hru,default
38,DIS_STREAM,float,hru,default
39,CF,float,hru,default
40,CFH,float,hru,default
41,CFDEC,float,hru,default
42,SED_CON,float,hru,default
43,ORGN_CON,float,hru,default
44,ORGP_CON,float,hru,default
45,SOLN_CON,float,hru,default
46,SOLP_CON,float,hru,default
47,POT_SOLP,float,hru,default
48,POT_K,float,hru,default
49,N_REDUC,float,hru,default
50,N_LAG,float,hru,default
51,N_LN,float,hru,default
52,N_LNCO,float,hru,default
53,SURLAG,float,bsn,default
54,R2ADJ,float,hru,default
55,LAI_INIT,float,mgt,default
56,BIO_INIT,float,mgt,default
57,PHU_PLT,float,mgt,default
58,BIOMIX,float,mgt,default
59,CN2,float,mgt,default
60,USLE_P,float,mgt,default
61,BIO_MIN,float,mgt,default
62,FILTERW,float,mgt,default
63,FLOWMIN,float,mgt,default
64,DIVMAX,float,mgt,default
65,FLOWFR,float,mgt,default
66,DDRAIN,float,mgt,default
67,TDRAIN,float,mgt,default
68,GDRAIN,float,mgt,default
69,RE,float,sdr,default
70,SDRAIN,float,sdr,default
71,DRAIN_CO,float,sdr,default
72,PC,float,sdr,default
73,LATKSATF,float,sdr,default
74,SEP_CAP,float,sep,default
75,BZ_AREA,float,sep,default
76,ISEP_TFAIL,int,sep,default
77,BZ_Z,float,sep,default
78,BZ_THK,float,sep,default
79,SEP_STRM_DIST,float,sep,default
80,SEP_DEN,float,sep,default
81,BIO_BD,float,sep,default
82,COEFF_BOD_DC,float,sep,default
83,COEFF_BOD_CONV,float,sep,default
84,COEFF_FC1,float,sep,default
85,COEFF_FC2,float,sep,default
86,COEFF_FECAL,float,sep,default
87,COEFF_PLQ,float,sep,default
88,COEFF_MRT,float,sep,default
89,COEFF_RSP,float,sep,default
90,COEFF_SLG1,float,sep,default
91,COEFF_SLG2,float,sep,default
92,COEFF_NITR,float,sep,default
93,COEFF_DENITR,float,sep,default
94,COEFF_COEFF_PDISTRB,float,sep,default
95,COEFF_PSORPMAX,float,sep,default
96,COEFF_SOLPSLP,float,sep,default
97,COEFF_SOLPINTC,float,sep,default
98,PND_FR,float,pnd,default
99,PND_PSA,float,pnd,default
100,PND_PVOL,float,pnd,default
101,PND_ESA,float,pnd,default
102,PND_EVOL,float,pnd,default
103,PND_VOL,float,pnd,default
104,PND_SED,float,pnd,default
105,PND_NSED,float,pnd,default
106,PND_K,float,pnd,default
107,NDTARG,float,pnd,default
108,PSETLP1,float,pnd,default
109,PSETLP2,float,pnd,default
110,NSETLP1,float,pnd,default
111,NSETLP2,float,pnd,default
112,CHLAP,float,pnd,default
113,SECCIP,float,pnd,default
114,PND_NO3,float,pnd,default
115,PND_SOLP,float,pnd,default
116,PND_ORGN,float,pnd,default
117,PND_ORGP,float,pnd,default
118,PND_D50,float,pnd,default
119,WET_FR,float,pnd,default
120,WET_NSA,float,pnd,default
121,WET_NVOL,float,pnd,default
122,WET_MXSA,float,pnd,default
123,WET_MXVOL,float,pnd,default
124,WET_VOL,float,pnd,default
125,WET_SED,float,pnd,default
126,WET_NSED,float,pnd,default
127,WET_K,float,pnd,default
128,PSETLW1,float,pnd,default
129,PSETLW2,float,pnd,default
130,NSETLW1,float,pnd,default
131,NSETLW2,float,pnd,default
132,CHLAW,float,pnd,default
133,SECCIW,float,pnd,default
134,WET_NO3,float,pnd,default
135,WET_SOLP,float,pnd,default
136,WET_ORGN,float,pnd,default
137,WET_ORGP,float,pnd,default
138,PNDEVCOEFF,float,pnd,default
139,WETEVCOEFF,float,pnd,default
140,CHW2,float,rte,default
141,CHD,float,rte,default
142,CH_S2,float,rte,default
143,CH_L2,float,rte,default
144,CH_N2,float,rte,default
145,CH_K2,float,rte,default
146,CH_COV1,float,rte,default
147,CH_COV2,float,rte,default
148,CH_WDR,float,rte,default
149,ALPHA_BNK,float,rte,default
150,ICANAL,float,rte,default
151,CH_ONCO,float,rte,default
152,CH_OPCO,float,rte,default
153,CH_SIDE,float,rte,default
154,CH_BNK_BD,float,rte,default
155,CH_BED_BD,float,rte,default
156,CH_BNK_KD,float,rte,default
157,CH_BED_KD,float,rte,default
158,CH_BNK_D50,float,rte,default
159,CH_BED_D50,float,rte,default
160,CH_BNK_TC,float,rte,default
161,CH_BED_TC,float,rte,default
162,SUB_KM,float,sub,default
163,LATITUDE,float,sub,default
164,ELEV,float,sub,default
165,PLAPS,float,sub,default
166,TLAPS,float,sub,default
167,SNO_SUB,float,sub,default
168,CH_L1,float,sub,default
169,CH_S1,float,sub,default
170,CH_W1,float,sub,default
171,CH_K1,float,sub,default
172,CH_N1,float,sub,default
173,CO2,float,sub,default
174,RS1,float,swq,default
175,RS2,float,swq,default
176,RS3,float,swq,default
177,RS4,float,swq,default
178,RS5,float,swq,default
179,RS6,float,swq,default
180,RS7,float,swq,default
181,RK1,float,swq,default
182,RK2,float,swq,default
183,RK3,float,swq,default
184,RK4,float,swq,default
185,RK5,float,swq,default
186,RK6,float,swq,default
187,BC1,float,swq,default
188,BC2,float,swq,default
189,BC3,float,swq,default
190,BC4,float,swq,default
191,CHPST_REA,float,swq,default
192,CHPST_VOL,float,swq,default
193,CHPST_KOC,float,swq,default
194,CHPST_STL,float,swq,default
195,CHPST_RSP,float,swq,default
196,CHPST_MIX,float,swq,default
197,SEDPST_CONC,float,swq,default
198,SEDPST_REA,float,swq,default
199,SEDPST_BRY,float,swq,default
200,SEDPST_ACT,float,swq,default
201,SFTMP,float,bsn,default
202,SMTMP,float,bsn,default
203,SMFMX,float,bsn,default
204,SMFMN,float,bsn,default
205,TIMP,float,bsn,default
206,SNOCOVMX,float,bsn,default
207,SNO50COV,float,bsn,default
208,EVLAI,float,bsn,default
209,FFCB,float,bsn,default
210,ADJ_PKR,float,bsn,default
211,PRF_BSN,float,bsn,default
212,SPCON,float,bsn,default
213,SPEXP,float,bsn,default
214,RCN,float,bsn,default
215,CMN,float,bsn,default
216,N_UPDIS,float,bsn,default
217,P_UPDIS,float,bsn,default
218,NPERCO,float,bsn,default
219,PPERCO,float,bsn,default
220,PHOSKD,float,bsn,default
221,PSP,float,bsn,default
222,RSDCO,float,bsn,default
223,PERCOP,float,bsn,default
224,WDPQ,float,bsn,default
225,WGPQ,float,bsn,default
226,WDLPQ,float,bsn,default
227,WGLPQ,float,bsn,default
228,WDPS,float,bsn,default
229,WGPS,float,bsn,default
230,WDLPS,float,bsn,default
231,WGLPS,float,bsn,default
232,BACTKDQ,float,bsn,default
233,THBACT,float,bsn,default
234,WOF_P,float,bsn,default
235,WOF_LP,float,bsn,default
236,WDPF,float,bsn,default
237,WGPF,float,bsn,default
238,WDLPF,float,bsn,default
239,WGLPF,float,bsn,default
240,MSK_CO1,float,bsn,default
241,MSK_CO2,float,bsn,default
242,MSK_X,float,bsn,default
243,TRNSRCH,float,bsn,default
244,EVRCH,float,bsn,default
245,CNCOEF,float,bsn,default
246,CDN,float,bsn,default
247,SDNCO,float,bsn,default
248,BACT_SWF,float,bsn,default
249,BACTMX,float,bsn,default
250,BACTMINLP,float,bsn,default
251,BACTMINP,float,bsn,default
252,WDLPRCH,float,bsn,default
253,WDPRCH,float,bsn,default
254,WDLPRES,float,bsn,default
255,WDPRES,float,bsn,default
256,TB_ADJ,float,bsn,default
257,DEPIMP_BSN,float,bsn,default
258,DDRAIN_BSN,float,bsn,default
259,TDRAIN_BSN,float,bsn,default
260,GDRAIN_BSN,float,bsn,default
261,CN_FROZ,float,bsn,default
262,DORM_HR,float,bsn,default
263,SMXCO,float,bsn,default
264,FIXCO,float,bsn,default
265,NFIXMX,float,bsn,default
266,ANION_EXCL_BSN,float,bsn,default
267,CH_ONCO_BSN,float,bsn,default
268,CH_OPCO_BSN,float,bsn,default
269,HLIFE_NGW_BSN,float,bsn,default
270,RCN_SUB_BSN,float,bsn,default
271,BC1_BSN,float,bsn,default
272,BC2_BSN,float,bsn,default
273,BC3_BSN,float,bsn,default
274,BC4_BSN,float,bsn,default
275,DECR_MIN,float,bsn,default
276,ICFAC,float,bsn,default
277,RSD_COVCO,float,bsn,default
278,VCRIT,float,bsn,default
279,RES_STLR_CO,float,bsn,default
280,BFLO_DIST 0-1 (1,float,bsn,default
281,UHALPHA,float,bsn,default
282,EROS_SPL,float,bsn,default
283,RILL_MULT,float,bsn,default
284,EROS_EXPO,float,bsn,default
285,SUBD_CHSED,float,bsn,default
286,C_FACTOR,float,bsn,default
287,CH_D50,float,bsn,default
288,SIG_G,float,bsn,default
289,RE_BSN,float,bsn,default
290,SDRAIN_BSN,float,bsn,default
291,DRAIN_CO_BSN,float,bsn,default
292,PC_BSN,float,bsn,default
293,LATKSATF_BSN,float,bsn,default
294,IABSTR,float,bsn,default
295,Ave,float,sol,default
296,Ksat,float,sol,default
297,Depth,float,sol,default
298,Bulk,float,sol,default
299,Organic,float,sol,default
300,Clay,float,sol,default
301,Silt,float,sol,default
302,Sand,float,sol,default
303,Rock,float,sol,default
304,Albedo,float,sol,default
305,Erosion,float,sol,default
306,Sanlinity,float,sol,default
307,pH,float,sol,default
308,CACO3,float,sol,default
309,VFSR,float,ops,2_6
310,VFSI,int,ops,2_5
311,GWATW,float,ops,3_9
312,GWATL,float,ops,3_10
313,GWATI,int,ops,3_5
